day;evento;tipo_evento;edam_ecne_eplu;edam_ecne_eplu_diff;edam_ecor_emcn;edam_ecor_emcn_diff;edam_emsg_eplu;edam_emsg_eplu_diff;edam_epdn_ecne;edam_epdn_ecne_diff;edam_epdn_emcn;edam_epdn_emcn_diff;eint_ecpn_emgl;eint_ecpn_emgl_diff;eint_esln_emgl;eint_esln_emgl_diff;eint_esln_espc;eint_esln_espc_diff;emeg_ecpn_emgl;emeg_ecpn_emgl_diff;emfn_ecor_ecri;emfn_ecor_ecri_diff;emfn_ecor_emcn;emfn_ecor_emcn_diff;emfn_emcn_epdn;emfn_emcn_epdn_diff;epdn_ecne_ecpn;epdn_ecne_ecpn_diff;epdn_eint_ecpn;epdn_eint_ecpn_diff;epdn_eint_espc;epdn_eint_espc_diff;epdn_emfn_espc;epdn_emfn_espc_diff;eplu_ecne_ecpn;eplu_ecne_ecpn_diff;eplu_emeg_ecpn;eplu_emeg_ecpn_diff;eplu_emeg_emal;eplu_emeg_emal_diff;eplu_emsg_emal;eplu_emsg_emal_diff
17/01/2019;0;;60,071;0,99284615;-7,84;-0,775;-2,579;0,243;17,404;0,69676923;-60,187;2,31491667;26,257;-0,987;-23,856;-0,054;0,675;-0,16;-40,986;0,886;8,777;0,934;-2,821;-0,393;-41,12;2,16225;-3,493;0,755615385;299,264;0,5048333;162,855;-0,4669167;39,406;0,34141667;57,222;1,13707692;12,932;0,357;-8,683;0,344;-11,064;0,334
18/01/2019;0;;60,803;1,614;-8,304;-0,846;-2,532;0,21;16,264;-0,529;-57,445;4,879;25,928;-0,709;-24,181;-0,453;0,345;-0,478;-40,164;1,282;9,431;1,119;-3,139;-0,517;-38,815;4,299;-3,698;0,494;298,144;-0,765;161,307;-2,035;39,612;0,5;58,186;1,969;13,087;0,269;-8,617;0,216;-11,032;0,161
19/01/2019;0;;61,379;1,308;-8,436;-0,596;-2,417;0,162;15,61;-1,794;-55,516;4,671;25,974;-0,283;-24,115;-0,259;0,222;-0,453;-40,0268;0,9592;9,66;0,883;-3,201;-0,38;-37,226;3,894;-3,218;0,275;296,379;-2,885;159,784;-3,071;39,562;0,156;58,962;1,74;13,197;0,265;-8,493;0,19;-10,928;0,136
20/01/2019;1;;61,52;0,717;-8,482;-0,178;-2,331;0,201;14,368;-1,896;-53,603;3,842;26,02;0,092;-24,049;0,132;0,065;-0,28;-39,8896;0,2744;9,793;0,362;-3,23;-0,091;-35,719;3,096;-2,953;0,745;293,869;-4,275;157,831;-3,476;39,393;-0,219;59,317;1,131;13,311;0,224;-8,356;0,261;-10,83;0,202
21/01/2019;2;EA;62,054;0,675;-8,012;0,424;-2,457;-0,04;12,822;-2,788;-52,38;3,136;26,066;0,092;-23,983;0,132;-0,241;-0,463;-39,7524;0,2744;10,137;0,477;-2,805;0,396;-34,613;2,613;-2,924;0,294;291,079;-5,3;155,298;-4,486;38,842;-0,72;59,982;1,02;13,495;0,298;-8,42;0,073;-10,868;0,06
22/01/2019;2;EA;62,807;1,287;-7,194;1,288;-2,501;-0,17;12,058;-2,31;-50,04;3,563;26,112;0,092;-23,917;0,132;0,303;0,238;-39,6152;0,2744;10,797;1,004;-2,906;0,324;-33,637;2,082;-3,31;-0,357;288,374;-5,495;153,452;-4,379;38,548;-0,845;60,456;1,139;13,897;0,586;-9,383;-1,027;-11,226;-0,396
23/01/2019;2;EA;62,7858;0,7318;-7,265;0,747;-2,4732;-0,0162;10,309;-2,513;-48,793;3,587;26,158;0,092;-23,851;0,132;0,37;0,611;-39,478;0,2744;10,866;0,729;-2,717;0,088;-32,441;2,172;-3,824;-0,9;285,234;-5,845;151,438;-3,86;38,237;-0,605;60,4707;0,4887;14,0092;0,5142;-9,2828;-0,8628;-11,1786;-0,3106
24/01/2019;2;EA;62,7646;-0,0424;-7,38;-0,186;-2,4454;0,0556;9,222;-2,836;-48,004;2,036;26,862;0,75;-23,185;0,732;0,214;-0,089;-38,75;0,8652;10,897;0,1;-2,617;0,289;-31,573;2,064;-3,259;0,051;282,358;-6,016;149,146;-4,306;37,78;-0,768;60,4854;0,0294;14,1214;0,2244;-9,1826;0,2004;-11,1312;0,0948
25/01/2019;2;EA;62,7434;-0,0424;-7,86;-0,595;-2,4176;0,0556;8,92575;-1,38325;-45,66;3,133;27,116;0,958;-22,883;0,968;-0,09;-0,46;-38,26;1,218;10,639;-0,227;-3,23;-0,513;-30,18;2,261;-3,2395;0,5845;279,244;-5,99;146,694;-4,744;37,236;-1,001;60,5001;0,0294;14,2336;0,2244;-9,0824;0,2004;-11,0838;0,0948
26/01/2019;2;EA;62,7222;-0,0424;-7,905333333;-0,525333333;-2,3898;0,0556;8,6295;-0,5925;-45,578;2,426;27,194;0,332;-22,879;0,306;-0,042;-0,256;-37,995;0,755;10,85;-0,047;-3,217333333;-0,600333333;-30,02933333;1,54366667;-3,22;0,039;277,7635;-4,5945;145,6625;-3,4835;37,08;-0,7;60,5148;0,0294;14,3458;0,2244;-8,9822;0,2004;-11,0364;0,0948
27/01/2019;2;EA;62,701;-0,0424;-7,950666667;-0,090666667;-2,362;0,0556;8,33325;-0,5925;-45,496;0,164;27,217;0,101;-22,906;-0,023;-0,251;-0,161;-37,701;0,559;11,323;0,684;-3,204666667;0,025333333;-29,87866667;0,30133333;-3,2005;0,039;276,283;-2,961;144,631;-2,063;36,924;-0,312;60,5295;0,0294;14,458;0,2244;-8,882;0,2004;-10,989;0,0948
28/01/2019;2;EA;62,6798;-0,0424;-7,996;-0,090666667;-2,38;0,0098;8,037;-0,5925;-45,414;0,164;27,28;0,086;-22,819;0,06;-0,42;-0,378;-37,437;0,558;12,088;1,238;-3,192;0,025333333;-29,728;0,30133333;-3,181;0,039;273,508;-4,2555;142,661;-3,0015;36,261;-0,819;60,5442;0,0294;14,893;0,5472;-8,499;0,4832;-10,787;0,2494
29/01/2019;2;EA;62,6586;-0,0424;-7,993;-0,042333333;-2,298;0,064;7,74075;-0,5925;-44,285;1,211;27,388;0,171;-22,74;0,166;-0,469;-0,218;-37,251;0,45;12,214;0,891;-3,077;0,127666667;-28,715;1,16366667;-3,1615;0,039;270,777;-5,506;141,01;-3,621;35,922;-1,002;60,5589;0,0294;15,316;0,858;-8,102;0,78;-10,53;0,459
