day;evento;tipo_evento;edam_ecne_eplu;edam_ecne_eplu_diff;edam_ecor_emcn;edam_ecor_emcn_diff;edam_emsg_eplu;edam_emsg_eplu_diff;edam_epdn_ecne;edam_epdn_ecne_diff;edam_epdn_emcn;edam_epdn_emcn_diff;eint_ecpn_emgl;eint_ecpn_emgl_diff;eint_esln_emgl;eint_esln_emgl_diff;eint_esln_espc;eint_esln_espc_diff;emeg_ecpn_emgl;emeg_ecpn_emgl_diff;emfn_ecor_ecri;emfn_ecor_ecri_diff;emfn_ecor_emcn;emfn_ecor_emcn_diff;emfn_emcn_epdn;emfn_emcn_epdn_diff;epdn_ecne_ecpn;epdn_ecne_ecpn_diff;epdn_eint_ecpn;epdn_eint_ecpn_diff;epdn_eint_espc;epdn_eint_espc_diff;epdn_emfn_espc;epdn_emfn_espc_diff;eplu_ecne_ecpn;eplu_ecne_ecpn_diff;eplu_emeg_ecpn;eplu_emeg_ecpn_diff;eplu_emeg_emal;eplu_emeg_emal_diff;eplu_emsg_emal;eplu_emsg_emal_diff
10/07/2019;0;;63,574;0,038;-9,657;-0,199;0,159882353;0,014117647;2,179;0,401;-31,416;-0,059;35,599;0,156;-16,682;-0,196;-0,66;-0,577;-32,051;0,338;28,282;-0,076;-4,963;-0,987;-21,474;-1,219;13,651;0,357;273,402;0,263;136,438;0,147;37,592;-1,302;67,84052941;0,06447059;22,90694118;0,04905883;-2,472352941;0,024352941;-8,434764706;-0,012235294
11/07/2019;0;;63,593;0,038;-9,463;-0,113;0,166941176;0,014117647;2,292;0,425;-31,31;0,139;35,418;0,032;-16,689;-0,029;-1,22;-0,851;-32,037;0,236;28,58;0,046;-4,78;-0,862;-21,476;-1,061;13,823;0,688;273,509;0,527;135,808;-0,542;37,916;-0,876;67,87276471;0,06447059;22,93147059;0,04905883;-2,460176471;0,024352941;-8,440882353;-0,012235294
12/07/2019;0;;63,612;0,038;-9,112;0,545;0,174;0,014117647;2,544;0,365;-31,599;-0,183;35,505;-0,094;-16,732;-0,05;-1,701;-1,041;-32,044;0,007;29,094;0,812;-4,344;0,619;-21,635;-0,161;14,046;0,395;273,829;0,427;135,166;-1,272;38,059;0,467;67,905;0,06447059;22,956;0,04905882;-2,448;0,024352941;-8,447;-0,012235294
13/07/2019;0;;63,864;0,271;-8,993;0,47;0,163;-0,003941176;2,749;0,457;-31,353;-0,043;35,625;0,207;-16,719;-0,03;-1,821;-0,601;-31,917;0,12;29,133;0,553;-4,652;0,128;-21,93;-0,454;14,331;0,508;274,006;0,497;135,281;-0,527;37,707;-0,209;68,467;0,59423529;23,373;0,44152941;-2,329;0,131176471;-8,386;0,054882353
14/07/2019;0;;64,099;0,487;-8,865;0,247;0,213;0,039;3,089;0,545;-31,356;0,243;35,668;0,163;-16,736;-0,004;-1,778;-0,077;-32,019;0,025;29,253;0,159;-4,535;-0,191;-21,964;-0,329;14,615;0,569;274,257;0,428;135,653;0,487;37,65;-0,409;68,834;0,929;23,59;0,634;-2,135;0,313;-8,343;0,104
15/07/2019;0;;64,088;0,224;-8,62;0,373;0,377;0,214;2,909;0,16;-31,262;0,091;35,885;0,26;-16,611;0,108;-1,545;0,276;-31,938;-0,021;29,181;0,048;-4,311;0,341;-21,86;0,07;14,328;-0,003;274,043;0,037;135,887;0,606;37,757;0,05;68,826;0,359;23,634;0,261;-2,224;0,105;-8,481;-0,095
16/07/2019;0;;64,257;0,158;-8,652;0,213;0,41375;0,20075;2,961;-0,128;-31,258;0,098;34,671;-0,997;-16,858;-0,122;-0,392;1,386;-32,041;-0,022;29,159;-0,094;-4,392;0,143;-21,838;0,126;13,935;-0,68;272,758;-1,499;136,699;1,046;38,106;0,456;68,913;0,079;23,896;0,306;-1,913;0,222;-8,37075;-0,02775
17/07/2019;1;;64,248;0,16;-8,869;-0,249;0,4505;0,0735;2,635;-0,274;-31,101;0,161;34,629;-1,256;-16,65;-0,039;-0,063;1,482;-32,041;-0,103;29,355;0,174;-4,29;0,021;-21,326;0,534;13,615;-0,713;272,506;-1,537;137,095;1,208;38,417;0,66;69,01;0,184;23,945;0,311;-1,934;0,29;-8,2605;0,2205
18/07/2019;2;EA;64,415;0,158;-8,785;-0,133;0,48725;0,0735;2,37;-0,591;-31,242;0,016;34,657;-0,014;-16,612;0,246;0,211;0,603;-31,913;0,128;29,637;0,478;-4;0,392;-21,149;0,689;13,325;-0,61;272,451;-0,307;137,319;0,62;38,644;0,538;69,215;0,302;24,019;0,123;-2,036;-0,123;-8,15025;0,2205
19/07/2019;2;EA;64,551;0,303;-8,876;-0,007;0,524;0,0735;2,468;-0,167;-31,205;-0,104;34,621;-0,008;-16,702;-0,052;0,439;0,502;-31,96;0,081;29,637;0,282;-3,878;0,412;-20,808;0,518;12,846;-0,769;271,958;-0,548;138,015;0,92;38,757;0,34;68,997;-0,013;23,812;-0,133;-2,056;-0,122;-8,04;0,2205
20/07/2019;2;EA;64,696;0,281;-8,987;-0,202;0,491;0,00375;2,538;0,168;-31,229;0,013;34,544;-0,113;-17,047;-0,435;0,332;0,121;-32,138;-0,225;29,692;0,055;-3,712;0,288;-20,473;0,676;12,462;-0,863;271,662;-0,789;138,134;0,815;38,822;0,178;68,811;-0,404;23,379;-0,64;-2,317;-0,281;-8,2;-0,04975
21/07/2019;2;EA;64,493;-0,058;-9,115;-0,239;0,438;-0,086;2,615;0,147;-31,309;-0,104;34,618;-0,003;-17,072;-0,37;0,152;-0,287;-32,207;-0,247;29,572;-0,065;-3,611;0,267;-20,277;0,531;12,538;-0,308;271,588;-0,37;137,918;-0,097;38,766;0,009;68,671;-0,326;23,352;-0,46;-2,373;-0,317;-8,404;-0,364
22/07/2019;0;;64,381;-0,315;-9,021;-0,034;0,454;-0,037;2,485;-0,053;-31,298;-0,069;34,653;0,109;-16,952;0,095;0,303;-0,029;-32,38;-0,242;29,558;-0,134;-3,5;0,212;-20,2;0,273;12,451;-0,011;271,523;-0,139;137,861;-0,273;38,669;-0,153;68,403;-0,408;23,15;-0,229;-2,372;-0,055;-8,577;-0,377
23/07/2019;0;;64,521;0,028;-9,038;0,077;0,524;0,086;2,688;0,073;-30,756;0,553;34,694;0,076;-17,253;-0,181;0,1;-0,052;-32,485;-0,278;29,179;-0,393;-3,909;-0,298;-20,173;0,104;12,528;-0,01;271,519;-0,069;137,957;0,039;38,623;-0,143;68,309;-0,362;22,826;-0,526;-2,585;-0,212;-8,553;-0,149
24/07/2019;0;;64,326;-0,055;-9,272;-0,251;0,533;0,079;2,855;0,37;-30,836;0,462;34,606;-0,047;-17,262;-0,31;0,152;-0,151;-32,591;-0,211;29,283;-0,275;-3,732;-0,232;-19,806;0,394;12,851;0,4;271,442;-0,081;138,2;0,339;38,715;0,046;68,111;-0,292;22,774;-0,376;-2,587;-0,215;-8,589;-0,012
25/07/2019;0;;64,203;-0,318;-9,356;-0,318;0,607;0,083;2,838;0,15;-30,812;-0,056;34,604;-0,09;-17,125;0,128;0,149;0,049;-32,403;0,082;29,557;0,378;-3,732;0,177;-19,704;0,469;12,884;0,356;271,27;-0,249;138,075;0,118;38,73;0,107;67,912;-0,397;22,678;-0,148;-2,574;0,011;-8,442;0,111
26/07/2019;1;;64,118;-0,208;-9,23;0,042;0,672;0,139;2,358;-0,497;-30,59;0,246;34,614;0,008;-17,029;0,233;0,148;-0,004;-32,454;0,137;29,614;0,331;-3,71;0,022;-19,691;0,115;12,207;-0,644;271,201;-0,241;137,713;-0,487;38,844;0,129;67,829;-0,282;22,676;-0,098;-2,468;0,119;-8,386;0,203
27/07/2019;2;EA;64,047;-0,156;-9,146;0,21;0,492;-0,115;2,035;-0,803;-30,775;0,037;34,69;0,086;-16,948;0,177;-0,082;-0,231;-32,565;-0,162;29,345;-0,212;-3,627;0,105;-19,84;-0,136;11,848;-1,036;271,394;0,124;137,084;-0,991;38,844;0,114;67,818;-0,094;22,617;-0,061;-2,468;0,106;-8,506;-0,064
28/07/2019;2;EA;64,096;-0,022;-9,425;-0,195;0,342;-0,33;2,102;-0,256;-30,924;-0,334;34,536;-0,078;-16,927;0,102;-0,017;-0,165;-32,599;-0,145;28,488;-1,126;-4,442;-0,732;-20,819;-1,128;11,789;-0,418;271,44;0,239;136,82;-0,893;37,837;-1,007;67,73;-0,099;22,428;-0,248;-2,444;0,024;-8,535;-0,149
29/07/2019;2;EA;63,921;-0,126;-9,266;-0,12;0,275;-0,217;2,263;0,228;-31,306;-0,531;34,391;-0,299;-16,952;-0,004;-0,516;-0,434;-32,682;-0,117;28,425;-0,92;-4,462;-0,835;-20,991;-1,151;11,464;-0,384;271,179;-0,215;135,836;-1,248;38,109;-0,735;67,146;-0,672;22,066;-0,551;-2,508;-0,04;-8,605;-0,099
30/07/2019;2;EA;64,086;-0,01;-9,039;0,386;0,211;-0,131;2,324;0,222;-31,362;-0,438;34,073;-0,463;-16,815;0,112;-0,733;-0,716;-32,827;-0,228;28,305;-0,183;-4,442;0;-21,126;-0,307;11,212;-0,577;271,086;-0,354;134,955;-1,865;38,363;0,526;67,101;-0,629;21,803;-0,625;-2,519;-0,075;-8,596;-0,061
31/07/2019;2;EA;63,853;-0,068;-9,068;0,198;0,349;0,074;2,192;-0,071;-30,887;0,419;33,896;-0,495;-16,884;0,068;-0,425;0,091;-32,955;-0,273;28,645;0,22;-4,524;-0,062;-20,912;0,079;11,002;-0,462;270,832;-0,347;135,242;-0,594;38,576;0,467;66,726;-0,42;21,652;-0,414;-2,635;-0,127;-8,761;-0,156
01/08/2019;2;EA;63,862;-0,224;-8,898;0,141;0,392;0,181;2,277;-0,047;-30,718;0,644;33,734;-0,339;-17,048;-0,233;-0,377;0,356;-33,014;-0,187;28,676;0,371;-4,554;-0,112;-20,92;0,206;11,14;-0,072;270,665;-0,421;135,349;0,394;38,567;0,204;66,702;-0,399;21,604;-0,199;-2,709;-0,19;-8,782;-0,186
02/08/2019;2;EA;63,77;-0,083;-8,804;0,264;0,412;0,063;2,066;-0,126;-30,855;0,032;33,665;-0,231;-17,204;-0,32;-0,428;-0,003;-33,089;-0,134;28,962;0,317;-4,402;0,122;-20,884;0,028;10,811;-0,191;270,449;-0,383;135,449;0,207;38,474;-0,102;66,499;-0,227;21,582;-0,07;-2,588;0,047;-8,692;0,069
03/08/2019;2;EA;64,067;0,205;-8,799;0,099;0,437;0,045;2,228;-0,049;-30,658;0,06;33,91;0,176;-17,228;-0,18;-0,62;-0,243;-33,303;-0,289;28,302;-0,374;-4,89;-0,336;-21,261;-0,341;11,124;-0,016;271,09;0,425;135,473;0,124;38,184;-0,383;66,849;0,147;21,515;-0,089;-2,322;0,387;-8,482;0,3
04/08/2019;2;EA;63,843;0,073;-8,658;0,146;0,402;-0,01;2,152;0,086;-30,947;-0,092;33,888;0,223;-17,34;-0,136;-0,781;-0,353;-33,311;-0,222;28,448;-0,514;-4,671;-0,269;-21,39;-0,506;10,988;0,177;271,114;0,665;135,162;-0,287;38,336;-0,138;66,577;0,078;21,403;-0,179;-2,465;0,123;-8,521;0,171
17/12/2019;0;;69,358;-0,128;-8,515;-0,166;2,03;0,011;5,842;-0,153;-22,872;-0,557;40,337;-0,102;-12,457;-0,154;0,035;0,163;-28,307;-0,351;40,698;0,089;-5,096;0,227;-16,984;0,019;20,133;-0,136;281,423;0,114;138,964;0,449;40,643;0,241;77,833;0,172;31,303;-0,036;1,21;0,176;-6,917;-0,344
18/12/2019;0;;69,871;0,449;-8,831;-0,399;1,717;-0,3075;4,882;-1,0365;-23,33;-0,7365;40,129;-0,267;-13,052;-0,796;-0,137;-0,125;-28,725;-0,548;41,162;0,432;-5;0,2095;-16,937;0,0565;20,117;-0,047;281,303;-0,163;139,294;0,623;40,539;0,015;78,371;0,373;30,779;-0,794;1,039;-0,19;-6,973;-0,236
19/12/2019;0;;69,5755;0,2175;-8,8955;-0,3805;1,7275;-0,3025;4,7345;-1,1075;-23,4175;-0,5455;40,977;0,64;-13,254;-0,797;-0,233;-0,268;-29,042;-0,735;41,662;0,964;-4,831;0,265;-16,7455;0,2385;18,266;-1,867;283,221;1,798;139,134;0,17;40,793;0,15;79,071;1,238;30,384;-0,919;1,009;-0,201;-7,173;-0,256
20/12/2019;0;;69,28;-0,591;-8,96;-0,129;1,738;0,021;4,587;-0,295;-23,505;-0,175;42,108;1,979;-13,439;-0,387;-0,515;-0,378;-29,14;-0,415;41,62;0,458;-4,662;0,338;-16,554;0,383;18,822;-1,295;284,692;3,389;139,09;-0,204;40,913;0,374;78,032;-0,339;29,587;-1,192;1,071;0,032;-7,173;-0,2
21/12/2019;0;;69,128;-0,4475;-10,114;-1,2185;1,879;0,1515;5,036;0,3015;-23,837;-0,4195;42,405;1,428;-13,155;0,099;-0,116;0,117;-29,552;-0,51;41,813;0,151;-5,92;-1,089;-17,205;-0,4595;19,934;1,668;286,8;3,579;139,482;0,348;40,05;-0,743;77,648;-1,423;29,22;-1,164;1,328;0,319;-6,997;0,176
22/12/2019;0;;67,644;-1,636;-10,206;-1,246;2,112;0,374;5,972;1,385;-23,061;0,444;44,718;2,61;-13,436;0,003;-0,139;0,376;-29,469;-0,329;42,172;0,552;-5,607;-0,945;-16,125;0,429;17,65;-1,172;288,003;3,311;139,893;0,803;40,24;-0,673;73,69;-4,342;27,491;-2,096;1,731;0,66;-6,606;0,567
23/12/2019;0;;67,14266667;-1,98533333;-10,03;0,084;2,121333333;0,242333333;6,475;1,439;-23,489;0,348;45,1795;2,7745;-13,4605;-0,3055;-0,3495;-0,2335;-29,294;0,258;42,459;0,646;-5,606;0,314;-16,4;0,805;16,039;-3,895;288,578;1,778;139,566;0,084;40,064;0,014;72,60233333;-5,04566667;27,008;-2,212;1,744;0,416;-6,526333333;0,470666667
24/12/2019;1;;66,64133333;-1,00266667;-10,238;-0,032;2,130666667;0,018666667;6,807;0,835;-24,014;-0,953;45,641;0,923;-13,485;-0,049;-0,56;-0,421;-29,214;0,255;42,654;0,482;-5,538;0,069;-16,642;-0,517;14,364;-3,286;289,153;1,15;139,239;-0,654;40,041;-0,199;71,51466667;-2,17533333;26,525;-0,966;1,757;0,026;-6,446666667;0,159333333
25/12/2019;2;EA;66,14;-1,00266667;-10,452;-0,422;2,14;0,018666667;6,760666667;0,285666667;-23,91166667;-0,42266667;46,916;1,7365;-13,425;0,0355;-0,554;-0,2045;-29,571;-0,277;42,801;0,342;-5,451;0,155;-16,491;-0,091;14,64433333;-1,39466667;288,4376667;-0,1403333;139,1183333;-0,4476667;40,05366667;-0,01033333;70,427;-2,17533333;26,042;-0,966;1,77;0,026;-6,367;0,159333333
26/12/2019;2;EA;65,391;-1,25033333;-10,348;-0,11;2,301;0,170333333;6,714333333;-0,092666667;-23,80933333;0,20466667;46,769;1,128;-13,151;0,334;-0,523;0,037;-29,306;-0,092;43,278;0,624;-5,144;0,394;-16,34;0,302;14,92466667;0,56066667;287,7223333;-1,4306667;138,9976667;-0,2413333;40,06633333;0,02533333;69,227;-2,28766667;26,074;-0,451;2,036;0,279;-6,224;0,222666667
27/12/2019;2;EA;65,269;-0,871;-10,264;0,188;2,375;0,235;6,668;-0,092666667;-23,707;0,20466667;45,51;-1,406;-12,864;0,561;-0,303;0,251;-28,977;0,594;43,632;0,831;-4,966;0,485;-16,189;0,302;15,205;0,56066667;287,007;-1,4306667;138,877;-0,2413333;40,079;0,02533333;69,834;-0,593;27,218;1,176;2,168;0,398;-6,097;0,27
28/12/2019;2;EA;64,89;-0,501;-10,275;0,073;2,205;-0,096;6,678;-0,036333333;-23,373;0,43633333;44,334;-2,435;-12,744;0,407;-0,409;0,114;-28,723;0,583;43,862;0,584;-4,907;0,237;-15,822;0,518;16,591;1,66633333;285,229;-2,4933333;138,564;-0,4336667;40,149;0,08266667;70,598;1,371;28,614;2,54;2,172;0,136;-6,132;0,092
29/12/2019;2;EA;64,655;-0,614;-10,275;-0,011;1,974;-0,401;6,483;-0,185;-23,295;0,412;43,092;-2,418;-13,114;-0,25;-0,619;-0,316;-28,392;0,585;44,103;0,471;-4,915;0,051;-15,784;0,405;17,374;2,169;283,43;-3,577;138,661;-0,216;40,085;0,006;71,414;1,58;30,021;2,803;2,202;0,034;-6,316;-0,219
30/12/2019;2;EA;64,641;-0,249;-10,268;0,007;2,149;-0,056;6,353;-0,325;-23,312;0,061;42,206;-2,128;-12,892;-0,148;-0,417;-0,008;-28,215;0,508;44,47;0,608;-4,803;0,104;-15,693;0,129;17,99;1,399;281,998;-3,231;138,89;0,326;40,215;0,066;71,855;1,257;30,762;2,148;2,535;0,363;-6,327;-0,195
11/04/2020;0;;71,407;0,357;-10,418;0,043;3,304;-0,002;5,272;-0,237;-22,951;-0,264;41,441;0,042;-10,928;-0,003;1,255;0,069;-27,21;-0,084;47,897;0,129;-2,94;0,106;-13,407;-0,158;19,231;-0,116;281,631;0,115;140,907;0,4;41,962;0,289;78,987;0,534;31,294;0,077;3,052;-0,061;-5,636;-0,055
12/04/2020;0;;71,421;0,123;-10,442;-0,025;3,31;-0,003;5,172;-0,191;-23,003;-0,191;41,504;0,082;-11,007;-0,079;1,219;-0,025;-27,139;-0,038;47,911;0,123;-2,968;0,029;-13,45;-0,101;19,205;-0,079;281,704;0,125;140,945;0,219;42,044;0,209;79,086;0,289;31,39;0,127;3,099;0,048;-5,522;0,133
13/04/2020;0;;71,514;0,107;-10,312;0,106;3,271;-0,033;5,162;-0,11;-23,108;-0,157;41,573;0,132;-10,864;0,064;1,288;0,033;-27,068;0,142;47,684;-0,213;-2,985;-0,045;-13,698;-0,291;19,461;0,23;282,022;0,391;140,82;-0,087;41,994;0,032;79,395;0,408;31,598;0,304;3,126;0,074;-5,61;0,026
14/04/2020;0;;71,665;0,244;-10,368;0,074;3,294;-0,016;5,499;0,327;-22,858;0,145;41,748;0,244;-10,686;0,321;1,43;0,211;-26,969;0,17;46,807;-1,104;-3,543;-0,575;-14,09;-0,64;20,006;0,801;282,458;0,754;141,125;0,18;41,68;-0,364;79,75;0,664;31,873;0,483;3,121;0,022;-5,519;0,003
15/04/2020;0;;71,845;0,331;-10,339;-0,027;3,293;0,022;5,632;0,47;-22,647;0,461;41,752;0,179;-10,691;0,173;1,084;-0,204;-26,926;0,142;46,771;-0,913;-3,711;-0,726;-14,125;-0,427;20,193;0,732;282,626;0,604;140,754;-0,066;41,612;-0,382;79,989;0,594;32,003;0,405;3,112;-0,014;-5,393;0,217
16/04/2020;0;;71,796;0,131;-10,375;-0,007;3,298;0,004;5,567;0,068;-22,794;0,064;41,628;-0,12;-10,755;-0,069;1,06;-0,37;-26,951;0,018;47,091;0,284;-3,56;-0,017;-14,093;-0,003;20,03;0,024;282,46;0,002;140,97;-0,155;41,674;-0,006;79,868;0,118;31,981;0,108;3,155;0,034;-5,327;0,192
17/04/2020;0;;71,915;0,07;-10,075;0,264;3,313;0,02;5,587;-0,045;-22,866;-0,219;41,57;-0,182;-10,691;0;1,176;0,092;-26,911;0,015;47,277;0,506;-3,334;0,377;-14,2;-0,075;20,042;-0,151;282,412;-0,214;140,972;0,218;41,735;0,123;79,964;-0,025;32,04;0,037;3,165;0,053;-5,252;0,141
18/04/2020;1;;71,89;0,094;-9,938;0,437;3,338;0,04;5,573;0,006;-22,945;-0,151;41,662;0,034;-10,853;-0,098;1,153;0,093;-26,863;0,088;47,376;0,285;-3,114;0,446;-14,124;-0,031;19,798;-0,232;282,395;-0,065;141,287;0,317;41,818;0,144;79,784;-0,084;32,003;0,022;3,183;0,028;-5,098;0,229
19/04/2020;2;TA;71,887;-0,028;-10,042;0,033;3,381;0,068;5,325;-0,262;-22,811;0,055;41,576;0,006;-10,894;-0,203;1,193;0,017;-26,841;0,07;47,73;0,453;-3,06;0,274;-13,852;0,348;19,427;-0,615;282,208;-0,204;141,315;0,343;41,965;0,23;79,692;-0,272;31,981;-0,059;3,212;0,047;-5,166;0,086
29/11/2020;0;;76,704;0,697;-10,666;-0,439;5,895;0,019;7,813;0,361;-16,719;0,017;44,977;-0,346;-8,518;0,174;2,184;0,27;-22,714;-0,57;62,367;-0,097;-3,026;-0,316;-9,534;0,075;25,999;-0,25;287,156;-0,374;144;0,316;43,663;-0,489;85,591;-0,085;35,77;-0,746;7,264;0,146;-3,424;-0,204
30/11/2020;0;;76,808;0,381;-10,756;-0,125;5,943;0,133;8,806;1,629;-15,877;1,477;44,556;-0,639;-8,474;0,04;2,256;0,07;-22,782;-0,426;62,528;0,099;-3,372;-0,407;-9,24;0,815;26,791;0,844;286,475;-0,969;143,873;-0,053;43,398;-0,408;85,444;-0,552;35,756;-0,417;7,337;0,176;-3,463;0,116
01/12/2020;0;;76,95;0,246;-10,718;-0,052;5,96;0,065;8,876;1,063;-15,281;1,438;44,377;-0,6;-8,172;0,346;2,339;0,155;-22,795;-0,081;63,007;0,64;-3,788;-0,762;-9,301;0,233;26,28;0,281;286,098;-1,058;143,643;-0,357;43,475;-0,188;85,495;-0,096;35,904;0,134;7,321;0,057;-3,435;-0,011
02/12/2020;0;;77,352;0,544;-10,70638462;0,04961538;5,642;-0,301;8,05;-0,756;-15,629;0,248;44,294;-0,262;-8,074;0,4;2,528;0,272;-22,995;-0,213;62,97876923;0,45076923;-3,807076923;-0,435076923;-9,927;-0,687;25,379;-1,412;285,973;-0,502;143,746;-0,127;43,429;0,031;86,132;0,688;36,038;0,282;7,357;0,02;-3,481;-0,018
03/12/2020;0;;77,635;0,685;-10,69476923;0,02323077;5,181;-0,779;7,348;-1,528;-14,629;0,652;44,215;-0,162;-8,0325;0,1395;2,461;0,122;-22,71;0,085;62,95053846;-0,05646154;-3,826153846;-0,038153846;-9,527;-0,226;25,015;-1,265;285,296;-0,802;143,571;-0,072;43,454;-0,021;87,302;1,807;37,189;1,285;7,129;-0,192;-3,764;-0,329
04/12/2020;0;;77,876;0,524;-10,68315385;0,02323077;5,135;-0,507;7,412;-0,638;-13,615;2,014;44,136;-0,158;-7,991;0,083;2,587;0,059;-22,425;0,57;62,92230769;-0,05646154;-3,845230769;-0,038153846;-9,009;0,918;25,005;-0,374;284,596;-1,377;143,734;-0,012;43,477;0,048;88,032;1,9;38,101;2,063;7,051;-0,306;-3,703;-0,222
05/12/2020;0;;77,449;-0,186;-10,67153846;0,02323077;4,997;-0,184;6,952;-0,396;-13,555;1,074;44,314;0,099;-7,978;0,0545;2,652;0,191;-22,297;0,413;62,89407692;-0,05646154;-3,864307692;-0,038153846;-9,026;0,501;24,749;-0,266;284,247;-1,049;144,015;0,444;43,633;0,179;87,648;0,346;37,869;0,68;7,031;-0,098;-3,798;-0,034
06/12/2020;1;;78,625;0,749;-10,65992308;0,02323077;4,75;-0,385;4,568;-2,844;-12,929;0,686;44,476;0,34;-7,708;0,283;2,554;-0,033;-22,331;0,094;62,86584615;-0,05646154;-3,883384615;-0,038153846;-8,39;0,619;23,59;-1,415;284,49;-0,106;143,369;-0,365;43,751;0,274;89,722;1,69;38,567;0,466;7,03;-0,021;-3,558;0,145
07/12/2020;2;EA;78,723;1,274;-10,64830769;0,02323077;4,894;-0,103;4,423;-2,529;-12,649;0,906;44,342;0,028;-7,32;0,658;2,788;0,136;-22,344;-0,047;62,83761538;-0,05646154;-3,902461538;-0,038153846;-8,24;0,786;23,052;-1,697;284,043;-0,204;143,082;-0,933;43,789;0,156;89,7945;2,1465;38,71;0,841;7,2645;0,2335;-3,3455;0,4525
08/12/2020;2;EA;78,821;0,196;-10,63669231;0,02323077;5,038;0,288;4,566;-0,002;-12,075;0,854;44,665;0,189;-7,145;0,563;3,082;0,528;-22,365;-0,034;62,80938462;-0,05646153;-3,921538462;-0,038153847;-8,368;0,022;23,123;-0,467;284,796;0,306;143,468;0,099;43,4;-0,351;89,867;0,145;38,853;0,286;7,499;0,469;-3,133;0,425
09/12/2020;2;EA;78,7114;-0,0116;-10,62507692;0,02323077;5,0976;0,2036;5,591;1,168;-11,136;1,513;44,913;0,571;-6,522;0,798;3,736;0,948;-22,438;-0,094;62,78115385;-0,05646153;-3,940615385;-0,038153847;-7,87;0,37;23,425;0,373;285,635;1,592;143,747;0,665;43,618;-0,171;89,788125;-0,006375;38,825125;0,115125;7,5216;0,2571;-3,1078;0,2377
10/12/2020;2;EA;78,6018;-0,2192;-10,61346154;0,02323077;5,1572;0,1192;5,897;1,331;-11,261;0,814;45,202;0,537;-6,235;0,91;3,674;0,592;-22,455;-0,09;62,75292308;-0,05646154;-3,959692308;-0,038153846;-7,792;0,576;22,898;-0,225;285,955;1,159;143,312;-0,156;43,898;0,498;89,70925;-0,15775;38,79725;-0,05575;7,5442;0,0452;-3,0826;0,0504
11/12/2020;2;EA;78,4922;-0,2192;-10,60184615;0,02323077;5,2168;0,1192;6,57;0,979;-10,868;0,268;45,15314286;0,24014286;-5,946;0,576;3,483;-0,253;-22,448;-0,01;62,72469231;-0,05646154;-3,978769231;-0,038153846;-7,617;0,253;22,81742857;-0,60757143;285,8838571;0,2488571;142,554;-1,193;44,206;0,588;89,630375;-0,15775;38,769375;-0,05575;7,5668;0,0452;-3,0574;0,0504
12/12/2020;2;EA;78,3826;-0,2192;-10,59023077;0,02323077;5,2764;0,1192;7,249;1,352;-10,597;0,664;45,10428571;-0,09771429;-5,988;0,247;3,356;-0,318;-22,441;0,014;62,69646154;-0,05646154;-3,997846154;-0,038153846;-7,58;0,212;22,73685714;-0,16114286;285,8127143;-0,1422857;142,605;-0,707;44,381;0,483;89,5515;-0,15775;38,7415;-0,05575;7,5894;0,0452;-3,0322;0,0504
13/12/2020;2;EA+TA;78,273;-0,2192;-10,57861538;0,02323077;5,336;0,1192;8,273;1,703;-10,049;0,819;45,05542857;-0,09771429;-6,083;-0,137;3,72;0,237;-22,434;0,014;62,66823077;-0,05646154;-4,016923077;-0,038153846;-7,768;-0,151;22,65628571;-0,16114286;285,7415714;-0,1422857;143,166;0,612;44,479;0,273;89,472625;-0,15775;38,713625;-0,05575;7,612;0,0452;-3,007;0,0504
14/12/2020;2;EA;77,14;-1,2426;-10,567;0,02323077;5,419;0,1426;8,689;1,44;-10,304;0,293;45,00657143;-0,09771428;-4,356;1,632;6,158;2,802;-22,427;0,014;62,64;-0,05646154;-4,036;-0,038153846;-7,984;-0,404;22,57571429;-0,16114285;285,6704286;-0,1422857;143,188;0,583;45,131;0,75;89,39375;-0,15775;38,68575;-0,05575;7,547;-0,0424;-2,947;0,0852
15/12/2020;0;;77,902;-0,371;-10,394;0,18461538;5,658;0,322;8,325;0,052;-10,549;-0,5;44,95771429;-0,09771428;-4,601;1,482;5,936;2,216;-22,42;0,014;62,634;-0,03423077;-4,228;-0,211076923;-8,1;-0,332;22,49514286;-0,16114285;285,5992857;-0,1422857;143,199;0,033;44,973;0,494;89,314875;-0,15775;38,657875;-0,05575;7,444;-0,168;-2,914;0,093
16/12/2020;0;;77,746;0,606;-10,248;0,319;5,819;0,4;7,845;-0,844;-10,668;-0,364;44,90885714;-0,09771429;-4,852;-0,496;5,647;-0,511;-22,413;0,014;62,485;-0,155;-4,346;-0,31;-8,067;-0,083;22,41457143;-0,16114286;285,5281429;-0,1422857;143,148;-0,04;44,938;-0,193;89,236;-0,15775;38,63;-0,05575;7,558;0,011;-2,836;0,111
17/12/2020;0;;77,301;-0,601;-10,036;0,358;5,959;0,301;7,742;-0,583;-10,898;-0,349;44,86;-0,09771429;-5,054;-0,453;5,446;-0,49;-22,406;0,014;62,49;-0,144;-4,442;-0,214;-8,235;-0,135;22,334;-0,16114286;285,457;-0,1422857;143,242;0,043;44,936;-0,037;89,157125;-0,15775;38,602125;-0,05575;7,683;0,239;-2,751;0,163
