day;edam_ecne_eplu;edam_ecne_eplu_1d;edam_ecor_emcn;edam_ecor_emcn_1d;edam_emsg_eplu;edam_emsg_eplu_1d;edam_epdn_ecne;edam_epdn_ecne_1d;edam_epdn_emcn;edam_epdn_emcn_1d;eint_ecpn_emgl;eint_ecpn_emgl_1d;eint_esln_emgl;eint_esln_emgl_1d;eint_esln_espc;eint_esln_espc_1d;emeg_ecpn_emgl;emeg_ecpn_emgl_1d;emfn_ecor_ecri;emfn_ecor_ecri_1d;emfn_ecor_emcn;emfn_ecor_emcn_1d;emfn_emcn_epdn;emfn_emcn_epdn_1d;epdn_ecne_ecpn;epdn_ecne_ecpn_1d;epdn_eint_ecpn;epdn_eint_ecpn_1d;epdn_eint_espc;epdn_eint_espc_1d;epdn_emfn_espc;epdn_emfn_espc_1d;eplu_ecne_ecpn;eplu_ecne_ecpn_1d;eplu_emeg_ecpn;eplu_emeg_ecpn_1d;eplu_emeg_emal;eplu_emeg_emal_1d;eplu_emsg_emal;eplu_emsg_emal_1d
17/05/2019;80,628;0,584;-8,535;-0,077;1,054;-0,091;2,37;-0,221;-33,026;-0,027;34,398;0,181;-18,428;-0,006;-1,841;-0,053;-31,835;0,09;26,447;0,048;-3,643;-0,166;-22,106;-0,141;11,317;0,053;268,193;0,104;135,97;-0,025;37,364;-0,211;85,421;0,529333333;19,856;-0,358333333;-6,401;-0,298666667;-10,933;-0,248
18/05/2019;80,4901;-0,1379;-8,931;-0,396;1,0495;-0,0045;2,205;-0,165;-33,337;-0,311;34,46;0,062;-18,28;0,148;-1,582;0,259;-31,966;-0,131;26,013;-0,434;-4,015;-0,372;-22,346;-0,24;11,549;0,232;268,34;0,147;136,252;0,282;37,423;0,059;85,2701;-0,1509;19,86505;0,00905;-6,37585;0,02515;-10,9145;0,0185
19/05/2019;80,3522;-0,1379;-10,188;-1,257;1,045;-0,0045;2,532;0,327;-32,445;0,892;34,671;0,211;-18,192;0,088;-1,559;0,023;-31,948;0,018;26,616;0,603;-5,476;-1,461;-22,096;0,25;11,999;0,45;268,978;0,638;136,52;0,268;37,219;-0,204;85,1192;-0,1509;19,8741;0,00905;-6,3507;0,02515;-10,896;0,0185
20/05/2019;80,2143;-0,1379;-10,532;-0,344;1,0405;-0,0045;2,819;0,287;-31,7;0,745;34,829;0,158;-18,186;0,006;-1,383;0,176;-31,998;-0,05;26,384;-0,232;-5,999;-0,523;-21,831;0,265;12,243;0,244;269,301;0,323;136,901;0,381;37,109;-0,11;84,9683;-0,1509;19,88315;0,00905;-6,32555;0,02515;-10,8775;0,0185
21/05/2019;80,0764;-0,1379;-10,117;0,415;1,036;-0,0045;2,61;-0,209;-31,952;-0,252;34,728;-0,101;-18,058;0,128;-1,223;0,16;-32,062;-0,064;26,78;0,396;-5,449;0,55;-21,715;0,116;12,324;0,081;269,098;-0,203;136,985;0,084;37,544;0,435;84,8174;-0,1509;19,8922;0,00905;-6,3004;0,02515;-10,859;0,0185
22/05/2019;79,9385;-0,1379;-9,619;0,498;1,0315;-0,0045;2,349;-0,261;-32,97;-1,018;34,614;-0,114;-17,905;0,153;-1,177;0,046;-32,091;-0,029;27,017;0,237;-4,678;0,771;-21,996;-0,281;12,371;0,047;268,905;-0,193;136,882;-0,103;37,689;0,145;84,6665;-0,1509;19,90125;0,00905;-6,27525;0,02515;-10,8405;0,0185
23/05/2019;79,8006;-0,1379;-9,417;0,202;1,027;-0,0045;2,107;-0,242;-33,008;-0,038;34,584;-0,03;-17,81;0,095;-1,372;-0,195;-32,185;-0,094;26,856;-0,161;-4,257;0,421;-21,792;0,204;12,44;0,069;268,914;0,009;136,406;-0,476;38,011;0,322;84,5156;-0,1509;19,9103;0,00905;-6,2501;0,02515;-10,822;0,0185
24/05/2019;79,6627;-0,1379;-9,003;0,414;1,0225;-0,0045;1,918;-0,189;-33,273;-0,265;34,408;-0,176;-17,633;0,177;-0,999;0,373;-32,091;0,094;26,876;0,02;-3,758;0,499;-21,765;0,027;12,433;-0,007;268,551;-0,363;136,694;0,288;38,198;0,187;84,3647;-0,1509;19,91935;0,00905;-6,22495;0,02515;-10,8035;0,0185
25/05/2019;79,5248;-0,1379;-8,769;0,234;1,018;-0,0045;1,586;-0,332;-33,885;-0,612;34,459;0,051;-17,489;0,144;-0,865;0,134;-32,244;-0,153;26,838;-0,038;-3,445;0,313;-22,188;-0,423;12,642;0,209;268,493;-0,058;136,714;0,02;38,066;-0,132;84,2138;-0,1509;19,9284;0,00905;-6,1998;0,02515;-10,785;0,0185
26/05/2019;79,3869;-0,1379;-9,584;-0,815;1,0135;-0,0045;1,478;-0,108;-34,572;-0,687;34,476;0,017;-17,483;0,006;-0,622;0,243;-32,404;-0,16;27,001;0,163;-3,193;0,252;-21,616;0,572;12,722;0,08;268,53;0,037;137,154;0,44;38,319;0,253;84,0629;-0,1509;19,93745;0,00905;-6,17465;0,02515;-10,7665;0,0185
27/05/2019;79,249;-0,1379;-8,767;0,817;1,009;-0,0045;0,438;-1,04;-36,359;-1,787;34,651;0,175;-17,451;0,032;-0,701;-0,079;-32,317;0,087;27,731;0,73;-1,864;1,329;-22,435;-0,819;12,272;-0,45;268,456;-0,074;137,09;-0,064;38,072;-0,247;83,912;-0,1509;19,9465;0,00905;-6,1495;0,02515;-10,748;0,0185
28/05/2019;79,1111;-0,1379;-8,634;0,133;1,0045;-0,0045;0,313;-0,125;-36,648;-0,289;34,642;-0,009;-17,508;-0,057;-1,098;-0,397;-32,128;0,189;28,338;0,607;-1,583;0,281;-22,272;0,163;12,304;0,032;268,323;-0,133;136,791;-0,299;38,347;0,275;83,7611;-0,1509;19,95555;0,00905;-6,12435;0,02515;-10,7295;0,0185
29/05/2019;78,9732;-0,1379;-8,7715;-0,1375;1;-0,0045;0,4125;0,0995;-36,3805;0,2675;34,92;0,278;-17,251;0,257;-1,083;0,015;-31,992;0,136;27,991;-0,347;-3,49;-1,907;-23,35;-1,078;13,237;0,933;269,047;0,724;137,051;0,26;37,139;-1,208;83,6102;-0,1509;19,9646;0,00905;-6,0992;0,02515;-10,711;0,0185
30/05/2019;78,8353;-0,1379;-8,909;-0,1375;0,9955;-0,0045;0,512;0,0995;-36,113;0,2675;34,53;-0,39;-17,404;-0,153;-1,033;0,05;-32,419;-0,427;28,754;0,763;-3,756;-0,266;-23,146;0,204;12,865;-0,372;269,176;0,129;136,739;-0,312;36,947;-0,192;83,4593;-0,1509;19,97365;0,00905;-6,07405;0,02515;-10,6925;0,0185
31/05/2019;78,6974;-0,1379;-8,833;0,076;0,991;-0,0045;0,37;-0,142;-35,568;0,545;33,875;-0,655;-17,74;-0,336;-0,887;0,146;-32,889;-0,47;28,252;-0,502;-3,716;0,04;-22,826;0,32;11,908;-0,957;268,444;-0,732;136,445;-0,294;36,98;0,033;83,3084;-0,1509;19,9827;0,00905;-6,0489;0,02515;-10,674;0,0185
01/06/2019;78,5595;-0,1379;-8,687;0,146;0,9865;-0,0045;0,424;0,054;-35,618;-0,05;33,522;-0,353;-18,376;-0,636;-1,241;-0,354;-33,2;-0,311;27,954;-0,298;-3,483;0,233;-22,83;-0,004;11,152;-0,756;267,943;-0,501;136,179;-0,266;36,918;-0,062;83,1575;-0,1509;19,99175;0,00905;-6,02375;0,02515;-10,6555;0,0185
02/06/2019;78,4216;-0,1379;-8,444;0,243;0,982;-0,0045;0,472;0,048;-35,235;0,383;32,451;-1,071;-18,546;-0,17;-0,464;0,777;-33,559;-0,359;27,798;-0,156;-3,467;0,016;-22,777;0,053;10,253;-0,899;266,912;-1,031;136,517;0,338;36,792;-0,126;83,0066;-0,1509;20,0008;0,00905;-5,9986;0,02515;-10,637;0,0185
03/06/2019;78,2837;-0,1379;-8,524;-0,08;0,9775;-0,0045;0,549;0,077;-34,86;0,375;31,621;-0,83;-18,764;-0,218;-0,342;0,122;-33,88;-0,321;27,559;-0,239;-3,431;0,036;-22,418;0,359;10,189;-0,064;265,984;-0,928;136,297;-0,22;36,702;-0,09;82,8557;-0,1509;20,00985;0,00905;-5,97345;0,02515;-10,6185;0,0185
04/06/2019;78,1458;-0,1379;-8,254;0,27;0,973;-0,0045;0,64;0,091;-34,523;0,337;31,207;-0,414;-18,761;0,003;-0,246;0,096;-34,073;-0,193;27,564;0,005;-3,331;0,1;-22,328;0,09;10,24;0,051;265,541;-0,443;135,946;-0,351;36,649;-0,053;82,7048;-0,1509;20,0189;0,00905;-5,9483;0,02515;-10,6;0,0185
05/06/2019;78,0079;-0,1379;-8,182;0,072;0,9685;-0,0045;0,646;0,006;-34,253;0,27;31,077;-0,13;-18,822;-0,061;-0,242;0,004;-34,219;-0,146;27,399;-0,165;-3,187;0,144;-22,083;0,245;10,052;-0,188;265,44;-0,101;135,704;-0,242;36,812;0,163;82,5539;-0,1509;20,02795;0,00905;-5,92315;0,02515;-10,5815;0,0185
06/06/2019;77,87;-0,1379;-8,196;-0,014;0,964;-0,0045;0,715;0,069;-34,2;0,053;31,074;-0,003;-18,767;0,055;-0,285;-0,043;-34,335;-0,116;27,442;0,043;-3,042;0,145;-21,919;0,164;9,987;-0,065;265,534;0,094;135,526;-0,178;36,96;0,148;82,403;-0,1509;20,037;0,00905;-5,898;0,02515;-10,563;0,0185
07/06/2019;75;-2,87;-8,412;-0,216;0,927;-0,037;1,072;0,357;-34,097;0,103;31,042;-0,032;-19,061;-0,294;0,011;0,296;-34,429;-0,094;27,37;-0,072;-3,155;-0,113;-21,853;0,066;10,288;0,301;265,865;0,331;135,949;0,423;37,064;0,104;79,241;-3,162;20,106;0,069;-5,311;0,587;-10,198;0,365
08/06/2019;72,485;-2,515;-8,443;-0,031;0,836;-0,091;1,314;0,242;-33,689;0,408;31,518;0,476;-18,947;0,114;0,165;0,154;-34,711;-0,282;27,187;-0,183;-3,308;-0,153;-21,816;0,037;10,164;-0,124;266,826;0,961;136,15;0,201;37,27;0,206;76,293;-2,948;19,965;-0,141;-4,946;0,365;-9,917;0,281
09/06/2019;69,913;-2,572;-8,498;-0,055;0,785;-0,051;1,326;0,012;-33,473;0,216;31,296;-0,222;-18,758;0,189;0,512;0,347;-35,087;-0,376;26,796;-0,391;-3,434;-0,126;-21,658;0,158;9,734;-0,43;266,897;0,071;136,684;0,534;37,565;0,295;73,142;-3,151;19,854;-0,111;-4,467;0,479;-9,497;0,42
10/06/2019;68,179;-1,734;-8,736;-0,238;0,602;-0,183;1,4;0,074;-33,15;0,323;31,261;-0,035;-18,853;-0,095;0,4;-0,112;-35,01;0,077;26,697;-0,099;-3,509;-0,075;-21,335;0,323;9,813;0,079;267,018;0,121;136,789;0,105;37,778;0,213;71,341;-1,801;20,049;0,195;-4,385;0,082;-9,41;0,087
11/06/2019;66,495;-1,684;-8,626;0,11;0,466;-0,136;1,204;-0,196;-33,205;-0,055;31,502;0,241;-18,826;0,027;0,209;-0,191;-34,926;0,084;26,547;-0,15;-3,291;0,218;-21,219;0,116;9,505;-0,308;267,141;0,123;136,463;-0,326;37,917;0,139;69,501;-1,84;20,2;0,151;-4,101;0,284;-9,192;0,218
12/06/2019;65,067;-1,428;-8,428;0,198;0,059;-0,407;1,082;-0,122;-34,062;-0,857;31,891;0,389;-18,562;0,264;0,217;0,008;-34,854;0,072;26,379;-0,168;-3,126;0,165;-22,036;-0,817;9,9;0,395;267,939;0,798;136,431;-0,032;37,762;-0,155;68,093;-1,408;20,02;-0,18;-3,964;0,137;-9,174;0,018
13/06/2019;64,054;-1,013;-8,407;0,021;0,036;-0,023;1,148;0,066;-34,06;0,002;32,24;0,349;-18,35;0,212;0,195;-0,022;-34,537;0,317;26,479;0,1;-3,133;-0,007;-22,091;-0,055;10,44;0,54;268,59;0,651;136,291;-0,14;37,757;-0,005;67,196;-0,897;20,375;0,355;-3,676;0,288;-8,941;0,233
14/06/2019;63,14;-0,914;-8,463;-0,056;0,02;-0,016;1,3;0,152;-33,689;0,371;31,908;-0,332;-18,196;0,154;0,735;0,54;-34,418;0,119;26,435;-0,044;-3,181;-0,048;-21,817;0,274;10,655;0,215;268,399;-0,191;136,248;-0,043;37,833;0,076;66,235;-0,961;20,547;0,172;-3,531;0,145;-8,841;0,1
15/06/2019;62,97;-0,17;-8,35;0,113;0,037;0,017;1,469;0,169;-33,142;0,547;32,218;0,31;-18,258;-0,062;0,421;-0,314;-34,341;0,077;26,256;-0,179;-3,291;-0,11;-21,702;0,115;10,566;-0,089;268,574;0,175;136,399;0,151;37,869;0,036;65,916;-0,319;20,643;0,096;-3,458;0,073;-8,728;0,113
16/06/2019;62,204;-0,766;-8,519;-0,169;0,037;0;1,501;0,032;-32,972;0,17;32,367;0,149;-18,35;-0,092;0,047;-0,374;-34,239;0,102;26,195;-0,061;-3,447;-0,156;-21,537;0,165;10,343;-0,223;268,545;-0,029;136,443;0,044;38,111;0,242;65,048;-0,868;20,729;0,086;-3,428;0,03;-8,536;0,192
17/06/2019;61,576;-0,628;-8,159;0,36;-0,061;-0,098;1,354;-0,147;-33,107;-0,135;32,665;0,298;-18,336;0,014;-0,173;-0,22;-34,096;0,143;26,364;0,169;-3,105;0,342;-21,609;-0,072;10,364;0,021;268,841;0,296;136,156;-0,287;38,131;0,02;64,566;-0,482;21,221;0,492;-3,205;0,223;-8,181;0,355
18/06/2019;61,893;0,317;-8,213;-0,054;-0,105;-0,044;1,456;0,102;-33,482;-0,375;33,043;0,378;-18,253;0,083;-0,31;-0,137;-33,998;0,098;26,705;0,341;-2,828;0,277;-21,353;0,256;10,716;0,352;269,177;0,336;135,943;-0,213;38,188;0,057;64,925;0,359;21,219;-0,002;-3,475;-0,27;-8,256;-0,075
19/06/2019;61,9075;0,0145;-8,377;-0,164;-0,064;0,041;1,254;-0,202;-33,153;0,329;33,259;0,216;-18,147;0,106;-0,059;0,251;-33,857;0,141;26,832;0,127;-3,097;-0,269;-21,28;0,073;10,571;-0,145;269,344;0,167;136,024;0,081;38,209;0,021;64,938;0,013;21,288;0,069;-3,3205;0,1545;-8,235;0,021
20/06/2019;61,922;0,0145;-8,415;-0,038;-0,023;0,041;1,326;0,072;-32,96;0,193;33,478;0,219;-17,91;0,237;-0,502;-0,443;-33,808;0,049;26,848;0,016;-3,26;-0,163;-21,284;-0,004;10,798;0,227;269,728;0,384;135,177;-0,847;38,225;0,016;64,951;0,013;21,357;0,069;-3,166;0,1545;-8,214;0,021
21/06/2019;62,207;0,285;-8,432;-0,017;0,017;0,04;1,504;0,178;-32,748;0,212;33,496;0,018;-17,858;0,052;-0,744;-0,242;-33,616;0,192;26,667;-0,181;-3,395;-0,135;-21,267;0,017;11,19;0,392;269,839;0,111;135,014;-0,163;38,121;-0,104;65,586;0,635;21,912;0,555;-2,961;0,205;-8,243;-0,029
22/06/2019;62,423;0,216;-8,458;-0,026;0,073;0,056;1,505;0,001;-32,952;-0,204;33,703;0,207;-17,759;0,099;-0,643;0,101;-33,495;0,121;26,602;-0,065;-3,425;-0,03;-21,411;-0,144;11,272;0,082;270,158;0,319;135,371;0,357;38,082;-0,039;65,949;0,363;22,163;0,251;-2,824;0,137;-8,167;0,076
23/06/2019;62,665;0,242;-8,812;-0,354;-0,081;-0,154;1,513;0,008;-33,248;-0,296;34,071;0,368;-17,507;0,252;-0,484;0,159;-33,415;0,08;26,676;0,074;-4,214;-0,789;-22,277;-0,866;11,627;0,355;270,999;0,841;135,627;0,256;37,18;-0,902;66,459;0,51;22,39;0,227;-2,735;0,089;-8,024;0,143
24/06/2019;63,372;0,707;-8,733;0,079;0,041;0,122;1,957;0,444;-33,046;0,202;34,251;0,18;-17,557;-0,05;-0,939;-0,455;-33,285;0,13;26,515;-0,161;-4,542;-0,328;-22,614;-0,337;12,179;0,552;271,643;0,644;135,366;-0,261;36,642;-0,538;67,197;0,738;22,431;0,041;-2,624;0,111;-8,153;-0,129
25/06/2019;63,289;-0,083;-8,896;-0,163;0,054;0,013;1,882;-0,075;-33,009;0,037;34,091;-0,16;-17,761;-0,204;-0,662;0,277;-33,243;0,042;26,717;0,202;-4,37;0,172;-22,331;0,283;12,441;0,262;271,323;-0,32;135,788;0,422;36,74;0,098;67,357;0,16;22,539;0,108;-2,655;-0,031;-8,343;-0,19
26/06/2019;63,308;0,019;-8,936;-0,04;0,061058824;0,007058824;2,24;0,358;-32,755;0,254;34,212;0,121;-17,695;0,066;-0,663;-0,001;-33,11;0,133;26,944;0,227;-4,282;0,088;-21,95;0,381;12,611;0,17;271,407;0,084;135,909;0,121;36,927;0,187;67,38923529;0,032235294;22,56352941;0,024529412;-2,642823529;0,012176471;-8,349117647;-0,006117647
27/06/2019;63,327;0,019;-8,905;0,031;0,068117647;0,007058824;2,619;0,379;-32,314;0,441;34,238;0,026;-17,822;-0,127;-0,535;0,128;-33,272;-0,162;27,073;0,129;-4,331;-0,049;-21,722;0,228;12,994;0,383;271,786;0,379;136,12;0,211;36,989;0,062;67,42147059;0,032235294;22,58805882;0,024529412;-2,630647059;0,012176471;-8,355235294;-0,006117647
28/06/2019;63,346;0,019;-9,182;-0,277;0,075176471;0,007058824;2,732;0,113;-32,077;0,237;34,15;-0,088;-17,634;0,188;-0,161;0,374;-33,029;0,243;27,143;0,07;-4,263;0,068;-21,179;0,543;13,32;0,326;271,845;0,059;136,5;0,38;37,262;0,273;67,45370588;0,032235294;22,61258824;0,024529412;-2,618470588;0,012176471;-8,361352941;-0,006117647
29/06/2019;63,365;0,019;-9,123;0,059;0,082235294;0,007058824;2,483;-0,249;-32,009;0,068;34,218;0,068;-18,017;-0,383;-0,216;-0,055;-32,914;0,115;27,179;0,036;-4,037;0,226;-20,922;0,257;13,304;-0,016;271,907;0,062;136,764;0,264;37,609;0,347;67,48594118;0,032235294;22,63711765;0,024529412;-2,606294118;0,012176471;-8,367470588;-0,006117647
30/06/2019;63,384;0,019;-9,475;-0,352;0,089294118;0,007058824;2,536;0,053;-31,978;0,031;34,325;0,107;-17,907;0,11;-0,138;0,078;-32,812;0,102;27,481;0,302;-4,022;0,015;-20,558;0,364;13,405;0,101;271,868;-0,039;137,199;0,435;37,831;0,222;67,51817647;0,032235294;22,66164706;0,024529412;-2,594117647;0,012176471;-8,373588235;-0,006117647
01/07/2019;63,403;0,019;-9,528;-0,053;0,096352941;0,007058824;2,654;0,118;-31,809;0,169;34,431;0,106;-17,852;0,055;-0,166;-0,028;-32,94;-0,128;27,701;0,22;-3,981;0,041;-20,34;0,218;13,552;0,147;272,286;0,418;137,291;0,092;37,934;0,103;67,55041176;0,032235294;22,68617647;0,024529412;-2,581941176;0,012176471;-8,379705882;-0,006117647
02/07/2019;63,422;0,019;-9,527;0,001;0,103411765;0,007058824;-0,051;-2,705;-31,693;0,116;34,754;0,323;-15,763;2,089;2,249;2,415;-32,755;0,185;27,979;0,278;-3,907;0,074;-20,332;0,008;12,266;-1,286;271,69;-0,596;136,51;-0,781;38,402;0,468;67,58264706;0,032235294;22,71070588;0,024529412;-2,569764706;0,012176471;-8,385823529;-0,006117647
03/07/2019;63,441;0,019;-9,395;0,132;0,110470588;0,007058824;0,414;0,465;-31,458;0,235;35,087;0,333;-15,671;0,092;2,073;-0,176;-32,801;-0,046;28,223;0,244;-3,903;0,004;-20,177;0,155;12,494;0,228;272,295;0,605;136,103;-0,407;38,51;0,108;67,61488235;0,032235294;22,73523529;0,024529412;-2,557588235;0,012176471;-8,391941176;-0,006117647
04/07/2019;63,46;0,019;-9,558;-0,163;0,117529412;0,007058824;1,238;0,824;-31,419;0,039;35,244;0,157;-15,956;-0,285;1,542;-0,531;-32,89;-0,089;28,348;0,125;-3,821;0,082;-19,949;0,228;13,118;0,624;272,731;0,436;136,379;0,276;38,726;0,216;67,64711765;0,032235294;22,75976471;0,024529412;-2,545411765;0,012176471;-8,398058824;-0,006117647
05/07/2019;63,479;0,019;-9,47;0,088;0,124588235;0,007058824;1,339;0,101;-31,584;-0,165;35,641;0,397;-15,979;-0,023;1,469;-0,073;-32,55;0,34;28,455;0,107;-3,6;0,221;-19,913;0,036;12,647;-0,471;272,96;0,229;136,518;0,139;38,808;0,082;67,67935294;0,032235294;22,78429412;0,024529412;-2,533235294;0,012176471;-8,404176471;-0,006117647
06/07/2019;63,498;0,019;-9,531;-0,061;0,131647059;0,007058824;1,567;0,228;-31,534;0,05;35,368;-0,273;-16,186;-0,207;1,467;-0,002;-32,471;0,079;28,235;-0,22;-3,667;-0,067;-19,859;0,054;12,863;0,216;272,749;-0,211;136,997;0,479;38,986;0,178;67,71158824;0,032235294;22,80882353;0,024529412;-2,521058824;0,012176471;-8,410294118;-0,006117647
07/07/2019;63,517;0,019;-9,387;0,144;0,138705882;0,007058824;1,665;0,098;-31,365;0,169;35,167;-0,201;-16,547;-0,361;0,929;-0,538;-32,383;0,088;28,338;0,103;-3,735;-0,068;-19,992;-0,133;12,824;-0,039;272,576;-0,173;136,905;-0,092;38,882;-0,104;67,74382353;0,032235294;22,83335294;0,024529412;-2,508882353;0,012176471;-8,416411765;-0,006117647
08/07/2019;63,536;0,019;-9,458;-0,071;0,145764706;0,007058824;1,778;0,113;-31,357;0,008;35,443;0,276;-16,486;0,061;-0,083;-1,012;-32,389;-0,006;28,358;0,02;-3,976;-0,241;-20,255;-0,263;13,294;0,47;273,139;0,563;136,291;-0,614;38,894;0,012;67,77605882;0,032235294;22,85788235;0,024529412;-2,496705882;0,012176471;-8,422529412;-0,006117647
09/07/2019;63,555;0,019;-9,35;0,108;0,152823529;0,007058824;1,867;0,089;-31,449;-0,092;35,386;-0,057;-16,66;-0,174;-0,369;-0,286;-32,273;0,116;28,534;0,176;-3,918;0,058;-20,415;-0,16;13,135;-0,159;272,982;-0,157;136,35;0,059;38,792;-0,102;67,80829412;0,032235294;22,88241176;0,024529412;-2,484529412;0,012176471;-8,428647059;-0,006117647
10/07/2019;63,574;0,019;-9,657;-0,307;0,159882353;0,007058824;2,179;0,312;-31,416;0,033;35,599;0,213;-16,682;-0,022;-0,66;-0,291;-32,051;0,222;28,282;-0,252;-4,963;-1,045;-21,474;-1,059;13,651;0,516;273,402;0,42;136,438;0,088;37,592;-1,2;67,84052941;0,032235294;22,90694118;0,024529412;-2,472352941;0,012176471;-8,434764706;-0,006117647
11/07/2019;63,593;0,019;-9,463;0,194;0,166941176;0,007058824;2,292;0,113;-31,31;0,106;35,418;-0,181;-16,689;-0,007;-1,22;-0,56;-32,037;0,014;28,58;0,298;-4,78;0,183;-21,476;-0,002;13,823;0,172;273,509;0,107;135,808;-0,63;37,916;0,324;67,87276471;0,032235294;22,93147059;0,024529412;-2,460176471;0,012176471;-8,440882353;-0,006117647
12/07/2019;63,612;0,019;-9,112;0,351;0,174;0,007058824;2,544;0,252;-31,599;-0,289;35,505;0,087;-16,732;-0,043;-1,701;-0,481;-32,044;-0,007;29,094;0,514;-4,344;0,436;-21,635;-0,159;14,046;0,223;273,829;0,32;135,166;-0,642;38,059;0,143;67,905;0,032235294;22,956;0,024529412;-2,448;0,012176471;-8,447;-0,006117647
13/07/2019;63,864;0,252;-8,993;0,119;0,163;-0,011;2,749;0,205;-31,353;0,246;35,625;0,12;-16,719;0,013;-1,821;-0,12;-31,917;0,127;29,133;0,039;-4,652;-0,308;-21,93;-0,295;14,331;0,285;274,006;0,177;135,281;0,115;37,707;-0,352;68,467;0,562;23,373;0,417;-2,329;0,119;-8,386;0,061
14/07/2019;64,099;0,235;-8,865;0,128;0,213;0,05;3,089;0,34;-31,356;-0,003;35,668;0,043;-16,736;-0,017;-1,778;0,043;-32,019;-0,102;29,253;0,12;-4,535;0,117;-21,964;-0,034;14,615;0,284;274,257;0,251;135,653;0,372;37,65;-0,057;68,834;0,367;23,59;0,217;-2,135;0,194;-8,343;0,043
15/07/2019;64,088;-0,011;-8,62;0,245;0,377;0,164;2,909;-0,18;-31,262;0,094;35,885;0,217;-16,611;0,125;-1,545;0,233;-31,938;0,081;29,181;-0,072;-4,311;0,224;-21,86;0,104;14,328;-0,287;274,043;-0,214;135,887;0,234;37,757;0,107;68,826;-0,008;23,634;0,044;-2,224;-0,089;-8,481;-0,138
16/07/2019;64,257;0,169;-8,652;-0,032;0,41375;0,03675;2,961;0,052;-31,258;0,004;34,671;-1,214;-16,858;-0,247;-0,392;1,153;-32,041;-0,103;29,159;-0,022;-4,392;-0,081;-21,838;0,022;13,935;-0,393;272,758;-1,285;136,699;0,812;38,106;0,349;68,913;0,087;23,896;0,262;-1,913;0,311;-8,37075;0,11025
17/07/2019;64,248;-0,009;-8,869;-0,217;0,4505;0,03675;2,635;-0,326;-31,101;0,157;34,629;-0,042;-16,65;0,208;-0,063;0,329;-32,041;0;29,355;0,196;-4,29;0,102;-21,326;0,512;13,615;-0,32;272,506;-0,252;137,095;0,396;38,417;0,311;69,01;0,097;23,945;0,049;-1,934;-0,021;-8,2605;0,11025
18/07/2019;64,415;0,167;-8,785;0,084;0,48725;0,03675;2,37;-0,265;-31,242;-0,141;34,657;0,028;-16,612;0,038;0,211;0,274;-31,913;0,128;29,637;0,282;-4;0,29;-21,149;0,177;13,325;-0,29;272,451;-0,055;137,319;0,224;38,644;0,227;69,215;0,205;24,019;0,074;-2,036;-0,102;-8,15025;0,11025
19/07/2019;64,551;0,136;-8,876;-0,091;0,524;0,03675;2,468;0,098;-31,205;0,037;34,621;-0,036;-16,702;-0,09;0,439;0,228;-31,96;-0,047;29,637;0;-3,878;0,122;-20,808;0,341;12,846;-0,479;271,958;-0,493;138,015;0,696;38,757;0,113;68,997;-0,218;23,812;-0,207;-2,056;-0,02;-8,04;0,11025
20/07/2019;64,696;0,145;-8,987;-0,111;0,491;-0,033;2,538;0,07;-31,229;-0,024;34,544;-0,077;-17,047;-0,345;0,332;-0,107;-32,138;-0,178;29,692;0,055;-3,712;0,166;-20,473;0,335;12,462;-0,384;271,662;-0,296;138,134;0,119;38,822;0,065;68,811;-0,186;23,379;-0,433;-2,317;-0,261;-8,2;-0,16
21/07/2019;64,493;-0,203;-9,115;-0,128;0,438;-0,053;2,615;0,077;-31,309;-0,08;34,618;0,074;-17,072;-0,025;0,152;-0,18;-32,207;-0,069;29,572;-0,12;-3,611;0,101;-20,277;0,196;12,538;0,076;271,588;-0,074;137,918;-0,216;38,766;-0,056;68,671;-0,14;23,352;-0,027;-2,373;-0,056;-8,404;-0,204
22/07/2019;64,381;-0,112;-9,021;0,094;0,454;0,016;2,485;-0,13;-31,298;0,011;34,653;0,035;-16,952;0,12;0,303;0,151;-32,38;-0,173;29,558;-0,014;-3,5;0,111;-20,2;0,077;12,451;-0,087;271,523;-0,065;137,861;-0,057;38,669;-0,097;68,403;-0,268;23,15;-0,202;-2,372;0,001;-8,577;-0,173
23/07/2019;64,521;0,14;-9,038;-0,017;0,524;0,07;2,688;0,203;-30,756;0,542;34,694;0,041;-17,253;-0,301;0,1;-0,203;-32,485;-0,105;29,179;-0,379;-3,909;-0,409;-20,173;0,027;12,528;0,077;271,519;-0,004;137,957;0,096;38,623;-0,046;68,309;-0,094;22,826;-0,324;-2,585;-0,213;-8,553;0,024
24/07/2019;64,326;-0,195;-9,272;-0,234;0,533;0,009;2,855;0,167;-30,836;-0,08;34,606;-0,088;-17,262;-0,009;0,152;0,052;-32,591;-0,106;29,283;0,104;-3,732;0,177;-19,806;0,367;12,851;0,323;271,442;-0,077;138,2;0,243;38,715;0,092;68,111;-0,198;22,774;-0,052;-2,587;-0,002;-8,589;-0,036
25/07/2019;64,203;-0,123;-9,356;-0,084;0,607;0,074;2,838;-0,017;-30,812;0,024;34,604;-0,002;-17,125;0,137;0,149;-0,003;-32,403;0,188;29,557;0,274;-3,732;0;-19,704;0,102;12,884;0,033;271,27;-0,172;138,075;-0,125;38,73;0,015;67,912;-0,199;22,678;-0,096;-2,574;0,013;-8,442;0,147
