day;edam_ecne_eplu;edam_ecne_eplu_1d;edam_ecor_emcn;edam_ecor_emcn_1d;edam_emsg_eplu;edam_emsg_eplu_1d;edam_epdn_ecne;edam_epdn_ecne_1d;edam_epdn_emcn;edam_epdn_emcn_1d;eint_ecpn_emgl;eint_ecpn_emgl_1d;eint_esln_emgl;eint_esln_emgl_1d;eint_esln_espc;eint_esln_espc_1d;emeg_ecpn_emgl;emeg_ecpn_emgl_1d;emfn_ecor_ecri;emfn_ecor_ecri_1d;emfn_ecor_emcn;emfn_ecor_emcn_1d;emfn_emcn_epdn;emfn_emcn_epdn_1d;epdn_ecne_ecpn;epdn_ecne_ecpn_1d;epdn_eint_ecpn;epdn_eint_ecpn_1d;epdn_eint_espc;epdn_eint_espc_1d;epdn_emfn_espc;epdn_emfn_espc_1d;eplu_ecne_ecpn;eplu_ecne_ecpn_1d;eplu_emeg_ecpn;eplu_emeg_ecpn_1d;eplu_emeg_emal;eplu_emeg_emal_1d;eplu_emsg_emal;eplu_emsg_emal_1d
14/11/2018;-2,212;0,217;7,620213111;0,017670545;0,208;-0,07;-99,651;-0,129;-0,454;-0,068;-1,484;0,028;-1,045;0,068;1,39;0,073;-2,128;0;-9,797260029;0,021427743;-4,990480539;0,028273566;-0,099;0,024;10,452;-0,024;-1,268;0,067;-0,295;0,048;-0,044;0,116;-3,751;0,338;-3,45;0,071;-1,604;-0,01;-0,678;-0,032666667
15/11/2018;-1,744;0,468;7,642206451;0,02199334;0,158;-0,05;-99,806;-0,155;-0,605;-0,151;-1,417;0,067;-0,911;0,134;1,523;0,133;-2,054;0,074;-9,785470653;0,011789376;-4,972465522;0,018015017;-0,121;-0,022;10,14;-0,312;-1,183;0,085;-0,175;0,12;-0,009;0,035;-3,284;0,467;-3,415;0,035;-1,644;-0,04;-0,808;-0,13
16/11/2018;-1,695;0,049;7,672856249;0,030649798;0,1;-0,058;-100,016;-0,21;-0,552;0,053;-1,542;-0,125;-0,919;-0,008;1,636;0,113;-1,946;0,108;-9,780299695;0,005170958;-4,976450975;-0,003985453;0,034;0,155;9,929;-0,211;-1,29;-0,107;-0,085;0,09;0,12;0,129;-3,202;0,082;-3,358;0,057;-1,606;0,038;-0,798;0,01
17/11/2018;-1,643;0,052;7,701923242;0,029066993;0,038;-0,062;-100,32;-0,304;-0,565;-0,013;-1,549;-0,007;-0,961;-0,042;1,646;0,01;-1,862;0,084;-9,77150908;0,008790615;-4,983093132;-0,006642157;0,059;0,025;9,52;-0,409;-1,409;-0,119;-0,018;0,067;0,118;-0,002;-3,145;0,057;-3,277;0,081;-1,46;0,146;-0,853;-0,055
18/11/2018;-1,577;0,066;7,72867564;0,026752398;0,032;-0,006;-100,318;0,002;-0,923;-0,358;-1,45;0,099;-0,995;-0,034;1,55;-0,096;-1,804;0,058;-9,753555671;0,017953409;-4,983871471;-0,000778339;-0,156;-0,215;9,769;0,249;-0,999;0,41;0,163;0,181;0,181;0,063;-2,912;0,233;-3,104;0,173;-1,367;0,093;-0,791;0,062
19/11/2018;-1,022;0,555;7,761654527;0,032978887;0,005;-0,027;-99,655;0,663;-0,27;0,653;-1,021;0,429;-0,978;0,017;1,634;0,084;-1,744;0,06;-9,717225806;0,036329865;-4,963531738;0,020339733;-0,13;0,026;9,783;0,014;-0,24;0,759;0,655;0,492;-0,223;-0,404;-2,437;0,475;-2,944;0,16;-1,372;-0,005;-0,51;0,281
20/11/2018;-0,953333333;0,068666667;7,790290323;0,028635796;-0,034;-0,039;-99,238;0,417;-0,368;-0,098;-0,468;0,553;-0,787;0,191;1,673;0,039;-1,404;0,34;-9,678;0,039225806;-4,934483871;0,029047867;-0,364;-0,234;9,36;-0,423;0,339;0,579;0,916;0,261;-0,548;-0,325;-2,214;0,223;-2,739333333;0,204666667;-1,365;0,007;-0,524666667;-0,014666667
21/11/2018;-0,884666667;0,068666667;7,898;0,107709677;-0,073;-0,039;-99,051;0,187;-0,175;0,193;-0,692;-0,224;-0,541;0,246;1,567;-0,106;-1,64;-0,236;-9,249;0,429;-5,038;-0,103516129;-0,381;-0,017;8,759;-0,601;0,332;-0,007;0,532;-0,384;-0,533;0,015;-1,991;0,223;-2,534666667;0,204666667;-1,358;0,007;-0,539333333;-0,014666667
22/11/2018;-0,816;0,068666667;9,254;1,356;-0,112;-0,039;-99,057;-0,006;-0,11;0,065;-0,743;-0,051;-0,458;0,083;1,501;-0,066;-1,679;-0,039;-14,753;-5,504;-3,527;1,511;-0,314;0,067;9,139;0,38;0,32;-0,012;0,339;-0,193;-0,404;0,129;-1,768;0,223;-2,33;0,204666667;-1,351;0,007;-0,554;-0,014666667
23/11/2018;-0,819;-0,003;8,132;-1,122;-0,202;-0,09;-99,083;-0,026;-0,231;-0,121;-0,841;-0,098;-0,339;0,119;1,648;0,147;-1,683;-0,004;-11,852;2,901;-3,846;-0,319;-0,21;0,104;9,388;0,249;0,064;-0,256;0,428;0,089;-0,309;0,095;-1,621;0,147;-2,137;0,193;-1,364;-0,013;-0,657;-0,103
